Date & Time,ECG_Data
[2023-04-06 14:21:13.351] ,316
[2023-04-06 14:21:13.351] ,314
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,312
[2023-04-06 14:21:13.351] ,318
[2023-04-06 14:21:13.351] ,304
[2023-04-06 14:21:13.351] ,350
[2023-04-06 14:21:13.351] ,565
[2023-04-06 14:21:13.351] ,654
[2023-04-06 14:21:13.351] ,329
[2023-04-06 14:21:13.351] ,304
[2023-04-06 14:21:13.351] ,351
[2023-04-06 14:21:13.351] ,308
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,315
[2023-04-06 14:21:13.351] ,318
[2023-04-06 14:21:13.351] ,320
[2023-04-06 14:21:13.351] ,325
[2023-04-06 14:21:13.351] ,325
[2023-04-06 14:21:13.351] ,331
[2023-04-06 14:21:13.351] ,332
[2023-04-06 14:21:13.351] ,336
[2023-04-06 14:21:13.351] ,341
[2023-04-06 14:21:13.351] ,337
[2023-04-06 14:21:13.351] ,349
[2023-04-06 14:21:13.351] ,356
[2023-04-06 14:21:13.351] ,360
[2023-04-06 14:21:13.351] ,365
[2023-04-06 14:21:13.351] ,375
[2023-04-06 14:21:13.351] ,377
[2023-04-06 14:21:13.351] ,367
[2023-04-06 14:21:13.351] ,359
[2023-04-06 14:21:13.351] ,340
[2023-04-06 14:21:13.354] ,331
[2023-04-06 14:21:13.356] ,315
[2023-04-06 14:21:13.362] ,317
[2023-04-06 14:21:13.374] ,312
[2023-04-06 14:21:13.382] ,310
[2023-04-06 14:21:13.395] ,308
[2023-04-06 14:21:13.404] ,305
[2023-04-06 14:21:13.417] ,308
[2023-04-06 14:21:13.424] ,312
[2023-04-06 14:21:13.438] ,310
[2023-04-06 14:21:13.445] ,320
[2023-04-06 14:21:13.457] ,324
[2023-04-06 14:21:13.469] ,310
[2023-04-06 14:21:13.478] ,318
[2023-04-06 14:21:13.489] ,322
[2023-04-06 14:21:13.499] ,324
[2023-04-06 14:21:13.510] ,319
[2023-04-06 14:21:13.519] ,324
[2023-04-06 14:21:13.530] ,329
[2023-04-06 14:21:13.540] ,322
[2023-04-06 14:21:13.551] ,323
[2023-04-06 14:21:13.561] ,320
[2023-04-06 14:21:13.571] ,317
[2023-04-06 14:21:13.580] ,322
[2023-04-06 14:21:13.592] ,317
[2023-04-06 14:21:13.600] ,324
[2023-04-06 14:21:13.612] ,327
[2023-04-06 14:21:13.621] ,320
[2023-04-06 14:21:13.632] ,345
[2023-04-06 14:21:13.641] ,341
[2023-04-06 14:21:13.654] ,336
[2023-04-06 14:21:13.662] ,353
[2023-04-06 14:21:13.675] ,336
[2023-04-06 14:21:13.682] ,320
[2023-04-06 14:21:13.695] ,324
[2023-04-06 14:21:13.703] ,313
[2023-04-06 14:21:13.715] ,316
[2023-04-06 14:21:13.723] ,318
[2023-04-06 14:21:13.736] ,320
[2023-04-06 14:21:13.744] ,320
[2023-04-06 14:21:13.757] ,305
[2023-04-06 14:21:13.765] ,356
[2023-04-06 14:21:13.777] ,581
[2023-04-06 14:21:13.785] ,637
[2023-04-06 14:21:13.798] ,292
[2023-04-06 14:21:13.805] ,325
[2023-04-06 14:21:13.819] ,344
[2023-04-06 14:21:13.829] ,313
[2023-04-06 14:21:13.838] ,318
[2023-04-06 14:21:13.850] ,319
[2023-04-06 14:21:13.859] ,321
[2023-04-06 14:21:13.870] ,319
[2023-04-06 14:21:13.879] ,326
[2023-04-06 14:21:13.890] ,329
[2023-04-06 14:21:13.899] ,333
[2023-04-06 14:21:13.911] ,326
[2023-04-06 14:21:13.919] ,334
[2023-04-06 14:21:13.931] ,341
[2023-04-06 14:21:13.941] ,349
[2023-04-06 14:21:13.952] ,350
[2023-04-06 14:21:13.960] ,357
[2023-04-06 14:21:13.972] ,360
[2023-04-06 14:21:13.981] ,372
[2023-04-06 14:21:13.993] ,373
[2023-04-06 14:21:14.002] ,379
[2023-04-06 14:21:14.013] ,368
[2023-04-06 14:21:14.021] ,362
[2023-04-06 14:21:14.035] ,339
[2023-04-06 14:21:14.043] ,326
[2023-04-06 14:21:14.054] ,317
[2023-04-06 14:21:14.062] ,310
[2023-04-06 14:21:14.074] ,310
[2023-04-06 14:21:14.083] ,308
[2023-04-06 14:21:14.095] ,307
[2023-04-06 14:21:14.103] ,309
[2023-04-06 14:21:14.115] ,307
[2023-04-06 14:21:14.124] ,310
[2023-04-06 14:21:14.136] ,316
[2023-04-06 14:21:14.145] ,319
[2023-04-06 14:21:14.158] ,321
[2023-04-06 14:21:14.169] ,319
[2023-04-06 14:21:14.179] ,321
[2023-04-06 14:21:14.189] ,315
[2023-04-06 14:21:14.199] ,324
[2023-04-06 14:21:14.210] ,328
[2023-04-06 14:21:14.218] ,325
[2023-04-06 14:21:14.231] ,323
[2023-04-06 14:21:14.239] ,328
[2023-04-06 14:21:14.251] ,315
[2023-04-06 14:21:14.260] ,328
[2023-04-06 14:21:14.271] ,320
[2023-04-06 14:21:14.281] ,321
[2023-04-06 14:21:14.292] ,320
[2023-04-06 14:21:14.304] ,318
[2023-04-06 14:21:14.312] ,313
[2023-04-06 14:21:14.322] ,324
[2023-04-06 14:21:14.333] ,313
